family,genus
Araucariaceae,Agathis
Araucariaceae,Araucaria
Araucariaceae,Columbea
Araucariaceae,Wollemia
Boweniaceae,Bowenia
Cephalotaxaceae,Cephalotaxus
Cupressaceae,Actinostrobus
Cupressaceae,Austrocedrus
Cupressaceae,Callitris
Cupressaceae,Calocedrus
Cupressaceae,Chamaecyparis
Cupressaceae,Cupressus
Cupressaceae,Diselma
Cupressaceae,Fitzroya
Cupressaceae,Fokienia
Cupressaceae,Juniperus
Cupressaceae,Libocedrus
Cupressaceae,Microbiota
Cupressaceae,Neocallitropsis
Cupressaceae,Papuacedrus
Cupressaceae,Pilgerodendron
Cupressaceae,Platycladus
Cupressaceae,Sabina
Cupressaceae,Tetraclinis
Cupressaceae,Thuja
Cupressaceae,Thujopsis
Cupressaceae,Thuya
Cupressaceae,Widdringtonia
Cupressaceae,Xanthocyparis
Cycadaceae,Cycas
Ephedraceae,Ephedra
Ginkgoaceae,Ginkgo
Gnetaceae,Gnetum
Pinaceae,Abies
Pinaceae,Cathaya
Pinaceae,Cedrus
Pinaceae,Keteleeria
Pinaceae,Larix
Pinaceae,Nothotsuga
Pinaceae,Picea
Pinaceae,Pinus
Pinaceae,Pseudolarix
Pinaceae,Pseudotsuga
Pinaceae,Tsuga
Podocarpaceae,Acmopyle
Podocarpaceae,Afrocarpus
Podocarpaceae,Dacrycarpus
Podocarpaceae,Dacrydium
Podocarpaceae,Falcatifolium
Podocarpaceae,Halocarpus
Podocarpaceae,Lagarostrobos
Podocarpaceae,Lepidothamnus
Podocarpaceae,Manoao
Podocarpaceae,Margbensonia
Podocarpaceae,Microcachrys
Podocarpaceae,Microstrobos
Podocarpaceae,Nageia
Podocarpaceae,Parasitaxus
Podocarpaceae,Phyllocladus
Podocarpaceae,Podocarpus
Podocarpaceae,Prumnopitys
Podocarpaceae,Retrophyllum
Podocarpaceae,Saxegothaea
Podocarpaceae,Sundacarpus
Taxaceae,Amentotaxus
Taxaceae,Austrotaxus
Taxaceae,Pseudotaxus
Taxaceae,Taxus
Taxaceae,Torreya
Taxodiaceae,Athrotaxis
Taxodiaceae,Cryptomeria
Taxodiaceae,Cunninghamia
Taxodiaceae,Glyptostrobus
Taxodiaceae,Metasequoia
Taxodiaceae,Sciadopitys
Taxodiaceae,Sequoia
Taxodiaceae,Sequoiadendron
Taxodiaceae,Taiwania
Taxodiaceae,Taxodium
Welwitschiaceae,Welwitschia
Zamiaceae,Ceratozamia
Zamiaceae,Dioon
Zamiaceae,Encephalartos
Zamiaceae,Lepidozamia
Zamiaceae,Macrozamia
Zamiaceae,Microcycas
Zamiaceae,Stangeria
Zamiaceae,Zamia
