family,subfamily,clade,genus,Consensus estimate,phylogenetic estimate,Spp recognized (The Plant List),Spp studied,Positive reports,Negative reports,GRIN,TRY,Nodulation_clade,Werner et al. 2014,Li et al. 2015,Sprent 2009,Rai et al. 2000,Chaia et al. 2010,Other sources,Ref:other,Comments
Fabaceae,Caesalpinioideae,Mimosoideae,Abarema,Rhizobia,likely_Rhizobia,53,14,17,1,Rhizobia,Present,Rhizobia,Rhizobia,Rhizobia,Rhizobia,,,,,
Fabaceae,Caesalpinioideae,Mimosoideae,Acacia,Rhizobia,likely_Rhizobia,1393,257,267,5,Rhizobia,Present,Rhizobia,Rhizobia,None,Rhizobia,,,,,
Fabaceae,Caesalpinioideae,Mimosoideae,Acaciella,Rhizobia,likely_Rhizobia,23,5,4,2,,,Rhizobia,Rhizobia,Rhizobia,,,,,,
Fabaceae,Caesalpinioideae,Mimosoideae,Adenopodia,likely_Rhizobia,likely_Rhizobia,7,1,0,1,None,,None,,None,None,,,,,a single ambiguous report
Fabaceae,Caesalpinioideae,Mimosoideae,Alantsilodendron,likely_Rhizobia,likely_Rhizobia,9,0,0,0,,,,,,,,,,,
Fabaceae,Caesalpinioideae,Mimosoideae,Albizia,Rhizobia,likely_Rhizobia,137,65,74,3,Rhizobia,Present,Rhizobia,Rhizobia,Rhizobia,Rhizobia,,,,,
Fabaceae,Caesalpinioideae,Mimosoideae,Anadenanthera,likely_Rhizobia,likely_Rhizobia,2,4,5,4,ambiguous,Present,Rhizobia,Rhizobia,Rhizobia,Rhizobia,,,,,
Fabaceae,Caesalpinioideae,Mimosoideae,Archidendron,Rhizobia,likely_Rhizobia,98,8,8,2,Rhizobia,Present,Rhizobia,Rhizobia,Rhizobia,Rhizobia,,,,,
Fabaceae,Caesalpinioideae,Mimosoideae,Archidendropsis,Rhizobia,likely_Rhizobia,13,2,2,0,Rhizobia,,Rhizobia,Rhizobia,,Rhizobia,,,,,
Fabaceae,Caesalpinioideae,Mimosoideae,Blanchetiodendron,likely_Rhizobia,likely_Rhizobia,1,0,0,0,,,,,,,,,,,
Fabaceae,Caesalpinioideae,Mimosoideae,Calliandra,Rhizobia,likely_Rhizobia,172,35,36,5,Rhizobia,Present,Rhizobia,Rhizobia,Rhizobia,Rhizobia,,,,,
Fabaceae,Caesalpinioideae,Mimosoideae,Calliandropsis,likely_Rhizobia,likely_Rhizobia,1,0,0,0,,,,,,,,,,,
Fabaceae,Caesalpinioideae,Mimosoideae,Cathormion,Rhizobia,likely_Rhizobia,4,1,1,0,Rhizobia,Present,,Rhizobia,Rhizobia,,,,,,
Fabaceae,Caesalpinioideae,Mimosoideae,Cedrelinga,Rhizobia,likely_Rhizobia,1,1,1,0,Rhizobia,variable,Rhizobia,Rhizobia,Rhizobia,Rhizobia,,,,,
Fabaceae,Caesalpinioideae,Mimosoideae,Chloroleucon,Rhizobia,likely_Rhizobia,10,4,5,0,Rhizobia,variable,Rhizobia,Rhizobia,Rhizobia,Rhizobia,,,,,
Fabaceae,Caesalpinioideae,Mimosoideae,Cojoba,Rhizobia,likely_Rhizobia,20,1,1,0,Rhizobia,,Rhizobia,Rhizobia,Rhizobia,Rhizobia,,,,,
Fabaceae,Caesalpinioideae,Mimosoideae,Cylicodiscus,unlikely_Rhizobia,likely_Rhizobia,1,1,0,1,None,,None,None,None,None,,,,,
Fabaceae,Caesalpinioideae,Mimosoideae,Desmanthus,Rhizobia,likely_Rhizobia,29,6,7,0,Rhizobia,Present,Rhizobia,Rhizobia,Rhizobia,Rhizobia,,,,,
Fabaceae,Caesalpinioideae,Mimosoideae,Dichrostachys,Rhizobia,likely_Rhizobia,17,4,14,0,Rhizobia,Present,Rhizobia,Rhizobia,Rhizobia,Rhizobia,,,,,
Fabaceae,Caesalpinioideae,,Dinizia,None,likely_Rhizobia,1,1,0,4,None,None,None,None,None,Rhizobia,,,None,"Moreira et al. 1992 (nat, 1sp); Gehring et al. 2005 (nat, 1 sp); Sprent et al. 2005",
Fabaceae,Caesalpinioideae,Mimosoideae,Ebenopsis,Rhizobia,likely_Rhizobia,3,2,2,0,Rhizobia,,Rhizobia,,Rhizobia,Rhizobia,,,,,
Fabaceae,Caesalpinioideae,Mimosoideae,Elephantorrhiza,Rhizobia,likely_Rhizobia,9,4,4,0,Rhizobia,Present,Rhizobia,,,Rhizobia,,,,,
Fabaceae,Caesalpinioideae,Mimosoideae,Entada,Rhizobia,likely_Rhizobia,29,13,14,3,Rhizobia,,Rhizobia,Rhizobia,Rhizobia,Rhizobia,,,None,"Bai et al. 1987 (nat, 3 spp)",
Fabaceae,Caesalpinioideae,Mimosoideae,Enterolobium,Rhizobia,likely_Rhizobia,13,8,8,1,Rhizobia,Present,Rhizobia,Rhizobia,Rhizobia,Rhizobia,,,,,
Fabaceae,Caesalpinioideae,Mimosoideae,Faidherbia,Rhizobia,likely_Rhizobia,1,3,3,0,Rhizobia,,Rhizobia,Rhizobia,Rhizobia,Rhizobia,,,,,
Fabaceae,Caesalpinioideae,Mimosoideae,Falcataria,Rhizobia,likely_Rhizobia,3,1,1,0,Rhizobia,,Rhizobia,,,Rhizobia,,,,,
Fabaceae,Caesalpinioideae,Mimosoideae,Gagnebina,likely_Rhizobia,likely_Rhizobia,6,0,0,0,,,,,,,,,,,
Fabaceae,Caesalpinioideae,Mimosoideae,Havardia,Rhizobia,likely_Rhizobia,7,3,3,0,Rhizobia,Present,Rhizobia,Rhizobia,Rhizobia,Rhizobia,,,,,
Fabaceae,Caesalpinioideae,Mimosoideae,Hydrochorea,Rhizobia,likely_Rhizobia,3,3,4,0,Rhizobia,,Rhizobia,Rhizobia,,Rhizobia,,,,,
Fabaceae,Caesalpinioideae,Mimosoideae,Indopiptadenia,Rhizobia,likely_Rhizobia,1,1,1,0,Rhizobia,,Rhizobia,,Rhizobia,,,,,,
Fabaceae,Caesalpinioideae,Mimosoideae,Inga,Rhizobia,likely_Rhizobia,381,87,84,14,Rhizobia,Present,Rhizobia,Rhizobia,Rhizobia,Rhizobia,,,,,
Fabaceae,Caesalpinioideae,Mimosoideae,Kanaloa,likely_Rhizobia,likely_Rhizobia,1,0,0,0,,,,,,,,,,,
Fabaceae,Caesalpinioideae,Mimosoideae,Leucaena,Rhizobia,likely_Rhizobia,25,25,36,1,Rhizobia,Present,Rhizobia,Rhizobia,Rhizobia,Rhizobia,,,,,
Fabaceae,Caesalpinioideae,Mimosoideae,Leucochloron,likely_Rhizobia,likely_Rhizobia,5,0,0,0,,,,,,,,,,,
Fabaceae,Caesalpinioideae,Mimosoideae,Lysiloma,Rhizobia,likely_Rhizobia,11,6,6,0,Rhizobia,None,Rhizobia,Rhizobia,Rhizobia,Rhizobia,,,,,
Fabaceae,Caesalpinioideae,Mimosoideae,Macrosamanea,Rhizobia,likely_Rhizobia,11,4,4,1,Rhizobia,,Rhizobia,,,Rhizobia,,,,,
Fabaceae,Caesalpinioideae,Mimosoideae,Mariosousa,Rhizobia,likely_Rhizobia,13,0,0,0,,,Rhizobia,Rhizobia,Rhizobia,,,,,,
Fabaceae,Caesalpinioideae,Mimosoideae,Microlobius,Rhizobia,likely_Rhizobia,1,1,1,0,Rhizobia,,Rhizobia,Rhizobia,Rhizobia,Rhizobia,,,,,
Fabaceae,Caesalpinioideae,Mimosoideae,Mimosa,Rhizobia,likely_Rhizobia,708,133,143,8,Rhizobia,Present,Rhizobia,Rhizobia,Rhizobia,Rhizobia,,,,,
Fabaceae,Caesalpinioideae,Mimosoideae,Mimozyganthus,Rhizobia,likely_Rhizobia,1,1,1,0,Rhizobia,,Rhizobia,Rhizobia,Rhizobia,Rhizobia,,,,,
Fabaceae,Caesalpinioideae,Mimosoideae,Neptunia,Rhizobia,likely_Rhizobia,12,8,9,0,Rhizobia,,Rhizobia,Rhizobia,Rhizobia,Rhizobia,,,,,
Fabaceae,Caesalpinioideae,Mimosoideae,Parapiptadenia,Rhizobia,likely_Rhizobia,6,3,3,0,Rhizobia,,Rhizobia,Rhizobia,Rhizobia,Rhizobia,,,,,
Fabaceae,Caesalpinioideae,Mimosoideae,Pararchidendron,likely_Rhizobia,likely_Rhizobia,1,0,0,0,,,,,,,,,,,
Fabaceae,Caesalpinioideae,Mimosoideae,Paraserianthes,Rhizobia,likely_Rhizobia,3,4,5,0,Rhizobia,,Rhizobia,Rhizobia,Rhizobia,Rhizobia,,,,,
Fabaceae,Caesalpinioideae,Mimosoideae,Parkia,None,likely_Rhizobia,39,24,10,21,ambiguous,Present,None,None,None,None,,,,,
Fabaceae,Caesalpinioideae,Mimosoideae,Pentaclethra,Rhizobia,likely_Rhizobia,3,3,3,1,Rhizobia,,variable,Rhizobia,Rhizobia,Rhizobia,,,,,
Fabaceae,Caesalpinioideae,Mimosoideae,Piptadenia,Rhizobia,likely_Rhizobia,37,13,11,4,Rhizobia,Present,Rhizobia,Rhizobia,Rhizobia,Rhizobia,,,,,
Fabaceae,Caesalpinioideae,Mimosoideae,Piptadeniastrum,Rhizobia,likely_Rhizobia,2,1,1,0,Rhizobia,,Rhizobia,,Rhizobia,Rhizobia,,,,,
Fabaceae,Caesalpinioideae,Mimosoideae,Piptadeniopsis,likely_Rhizobia,likely_Rhizobia,1,0,0,0,,,,,,,,,,,
Fabaceae,Caesalpinioideae,Mimosoideae,Pithecellobium,Rhizobia,likely_Rhizobia,79,43,41,8,Rhizobia,variable,Rhizobia,Rhizobia,Rhizobia,Rhizobia,,,None,"Bai et al. 1987 (nat, 3 spp)",
Fabaceae,Caesalpinioideae,Mimosoideae,Pityrocarpa,Rhizobia,likely_Rhizobia,5,0,0,0,Rhizobia,,Rhizobia,Rhizobia,,Rhizobia,,,,,
Fabaceae,Caesalpinioideae,Mimosoideae,Plathymenia,Rhizobia,likely_Rhizobia,2,2,2,0,Rhizobia,None,Rhizobia,,Rhizobia,Rhizobia,,,,,
Fabaceae,Caesalpinioideae,Mimosoideae,Prosopidastrum,likely_Rhizobia,likely_Rhizobia,5,1,0,0,,,,,,,,,Rhizobia,"Morales 1992 (exp, 1sp)",
Fabaceae,Caesalpinioideae,Mimosoideae,Prosopis,Rhizobia,likely_Rhizobia,47,24,28,6,Rhizobia,variable,Rhizobia,Rhizobia,Rhizobia,Rhizobia,,,,,
Fabaceae,Caesalpinioideae,Mimosoideae,Pseudopiptadenia,Rhizobia,likely_Rhizobia,11,4,2,1,ambiguous,Present,Rhizobia,,Rhizobia,Rhizobia,,,,,
Fabaceae,Caesalpinioideae,Mimosoideae,Samanea,Rhizobia,likely_Rhizobia,5,4,3,1,Rhizobia,,Rhizobia,Rhizobia,Rhizobia,Rhizobia,,,,,
Fabaceae,Caesalpinioideae,Mimosoideae,Schleinitzia,Rhizobia,likely_Rhizobia,5,2,2,0,Rhizobia,,Rhizobia,Rhizobia,Rhizobia,Rhizobia,,,,,
Fabaceae,Caesalpinioideae,Mimosoideae,Senegalia,Rhizobia,likely_Rhizobia,66,53,55,17,,Present,variable,,Rhizobia,Rhizobia,,,,,
Fabaceae,Caesalpinioideae,Mimosoideae,Serianthes,Rhizobia,likely_Rhizobia,8,1,1,0,Rhizobia,,Rhizobia,,,Rhizobia,,,,,
Fabaceae,Caesalpinioideae,Mimosoideae,Sphinga,likely_Rhizobia,likely_Rhizobia,3,0,0,0,,,,,,,,,,,
Fabaceae,Caesalpinioideae,Mimosoideae,Stryphnodendron,Rhizobia,likely_Rhizobia,30,9,9,3,Rhizobia,Present,Rhizobia,,,Rhizobia,,,,,
Fabaceae,Caesalpinioideae,Mimosoideae,Zapoteca,None,likely_Rhizobia,21,1,0,2,None,Present,None,Rhizobia,None,None,,,None,"Moulin et al. 2014 (exp, 1sp); Sprent et al. 2005",
Fabaceae,Caesalpinioideae,Mimosoideae,Zygia,Rhizobia,likely_Rhizobia,65,12,14,3,Rhizobia,Present,Rhizobia,Rhizobia,Rhizobia,Rhizobia,,,None,"Gehring et al. 2005 (nat, 2spp)",
Fabaceae,Caesalpinioideae,Mimosoideae,Thailentadopsis,likely_Rhizobia,likely_Rhizobia,2,0,0,0,,,,,,,,,,,
Fabaceae,Caesalpinioideae,Mimosoideae,Vachellia,Rhizobia,likely_Rhizobia,32,62,84,0,,Present,Rhizobia,Rhizobia,Rhizobia,Rhizobia,,,,,
Fabaceae,Caesalpinioideae,Mimosoideae,Viguieranthus,likely_Rhizobia,likely_Rhizobia,18,0,0,0,,,,,,,,,,,
Fabaceae,Caesalpinioideae,Mimosoideae,Xerocladia,Rhizobia,likely_Rhizobia,1,1,1,0,Rhizobia,,Rhizobia,Rhizobia,Rhizobia,Rhizobia,,,,,
Fabaceae,Caesalpinioideae,Mimosoideae/Adenanthera,Adenanthera,unlikely_Rhizobia,unlikely_Rhizobia,13,0,0,0,ambiguous,None,None,,,None,,,,,
Fabaceae,Caesalpinioideae,Mimosoideae/Adenanthera,Amblygonocarpus,None,unlikely_Rhizobia,1,1,0,1,None,Present,None,None,None,None,,,,,
Fabaceae,Caesalpinioideae,Mimosoideae/Adenanthera,Calpocalyx,unlikely_Rhizobia,unlikely_Rhizobia,11,3,1,2,ambiguous,,None,None,,None,,,,,
Fabaceae,Caesalpinioideae,Mimosoideae/Adenanthera,Pseudoprosopis,unlikely_Rhizobia,unlikely_Rhizobia,7,0,0,0,,,,,,,,,,,
Fabaceae,Caesalpinioideae,Mimosoideae/Adenanthera,Tetrapleura,None,unlikely_Rhizobia,2,2,1,2,None,,None,,None,None,,,Rhizobia/None,"Prin et al. 2008 (nat, 1sp)/Sprent et al. 2005",
Fabaceae,Caesalpinioideae,Mimosoideae/Adenanthera,Xylia,unlikely_Rhizobia,unlikely_Rhizobia,9,4,2,3,ambiguous,,None,,Rhizobia,None,,,,,
Fabaceae,Caesalpinioideae,Mimosoideae/Newtonia,Fillaeopsis,unlikely_Rhizobia,unlikely_Rhizobia,1,0,0,0,,,,,,,,,,,
Fabaceae,Caesalpinioideae,Mimosoideae/Newtonia,Newtonia,None,unlikely_Rhizobia,16,6,2,5,None,Present,None,None,None,None,,,,,
Fabaceae,Caesalpinioideae,,Acrocarpus,None,unlikely_Rhizobia,1,1,1,1,ambiguous,,Rhizobia,None,None,unlikely_rhizobia,,,,,
Fabaceae,Caesalpinioideae,,Arapatiella,None,unlikely_Rhizobia,2,1,0,1,None,,,,None,unlikely_rhizobia,,,,,
Fabaceae,Caesalpinioideae,,Arcoa,unlikely_Rhizobia,unlikely_Rhizobia,1,0,0,0,,,,,,unlikely_rhizobia,,,,,
